slpd,ddeg,etpja,etpjd,minda,mindd,preca,precd,relha,relhd,sfmma,sfmmd,tavea,taved,tdaya,tdayd,tmaxa,tmaxd,tmina,tmind,vpdda,vpddd,vpsaa,vpsad,vpama,vpamd,road_dist,trail_dist,merge_dist,elevation,TransAspd,VETH
0.4,27029,0.797759857,0.62922427,-6.912007168,-26.48150922,17.48557348,-7.245218894,18.00510753,-1.618394777,621.1359319,261.0617512,23.20116488,17.62426395,28.09874552,18.51287762,46.35887097,21.8187148,0.016487455,13.43241167,19.08136201,8.675742448,40.21442652,14.86955325,21.13306452,6.193810804,19,557,19,5308,0.597973057,0
0.4,27029,0.797759857,0.62922427,-6.912007168,-26.48150922,17.48557348,-7.245218894,18.00510753,-1.618394777,621.1359319,261.0617512,23.20116488,17.62426395,28.09874552,18.51287762,46.35887097,21.8187148,0.016487455,13.43241167,19.08136201,8.675742448,40.21442652,14.86955325,21.13306452,6.193810804,10,566,10,5306,0.597973057,0
0.4,27029,0.797759857,0.62922427,-6.912007168,-26.48150922,17.48557348,-7.245218894,18.00510753,-1.618394777,621.1359319,261.0617512,23.20116488,17.62426395,28.09874552,18.51287762,46.35887097,21.8187148,0.016487455,13.43241167,19.08136201,8.675742448,40.21442652,14.86955325,21.13306452,6.193810804,2,577,2,5305,0.597973057,0
0.4,27029,0.797759857,0.62922427,-6.912007168,-26.48150922,17.48557348,-7.245218894,18.00510753,-1.618394777,621.1359319,261.0617512,23.20116488,17.62426395,28.09874552,18.51287762,46.35887097,21.8187148,0.016487455,13.43241167,19.08136201,8.675742448,40.21442652,14.86955325,21.13306452,6.193810804,14,528,14,5308,0.597973057,0
0.4,27029,0.797759857,0.62922427,-6.912007168,-26.48150922,17.48557348,-7.245218894,18.00510753,-1.618394777,621.1359319,261.0617512,23.20116488,17.62426395,28.09874552,18.51287762,46.35887097,21.8187148,0.016487455,13.43241167,19.08136201,8.675742448,40.21442652,14.86955325,21.13306452,6.193810804,16,538,16,5307,0.597973057,0
0.4,27029,0.797759857,0.62922427,-6.912007168,-26.48150922,17.48557348,-7.245218894,18.00510753,-1.618394777,621.1359319,261.0617512,23.20116488,17.62426395,28.09874552,18.51287762,46.35887097,21.8187148,0.016487455,13.43241167,19.08136201,8.675742448,40.21442652,14.86955325,21.13306452,6.193810804,17,549,17,5306,0.597973057,0
0.4,27029,0.797759857,0.62922427,-6.912007168,-26.48150922,17.48557348,-7.245218894,18.00510753,-1.618394777,621.1359319,261.0617512,23.20116488,17.62426395,28.09874552,18.51287762,46.35887097,21.8187148,0.016487455,13.43241167,19.08136201,8.675742448,40.21442652,14.86955325,21.13306452,6.193810804,12,500,12,5309,0.597973057,0
0.4,27029,0.797759857,0.62922427,-6.912007168,-26.48150922,17.48557348,-7.245218894,18.00510753,-1.618394777,621.1359319,261.0617512,23.20116488,17.62426395,28.09874552,18.51287762,46.35887097,21.8187148,0.016487455,13.43241167,19.08136201,8.675742448,40.21442652,14.86955325,21.13306452,6.193810804,18,510,18,5309,0.597973057,0
0.4,27029,0.797759857,0.62922427,-6.912007168,-26.48150922,17.48557348,-7.245218894,18.00510753,-1.618394777,621.1359319,261.0617512,23.20116488,17.62426395,28.09874552,18.51287762,46.35887097,21.8187148,0.016487455,13.43241167,19.08136201,8.675742448,40.21442652,14.86955325,21.13306452,6.193810804,27,522,27,5307,0.597973057,0
4.21,27457,0.808512545,0.62922427,-7.646236559,-26.28389017,17.08467742,-7.047599846,17.9155914,-1.604646697,618.8576165,260.2914875,23.65277778,17.69123784,28.5938172,18.58492064,47.01729391,21.90689964,0.26953405,13.48075397,19.38862007,8.806221198,40.63879928,15.05409626,21.25017921,6.247875064,132,411,132,5195,0.490488516,0
4.21,27457,0.808512545,0.62922427,-7.646236559,-26.28389017,17.08467742,-7.047599846,17.9155914,-1.604646697,618.8576165,260.2914875,23.65277778,17.69123784,28.5938172,18.58492064,47.01729391,21.90689964,0.26953405,13.48075397,19.38862007,8.806221198,40.63879928,15.05409626,21.25017921,6.247875064,128,383,128,5200,0.490488516,0
1.74,27487,0.800358423,0.626446493,-7.428853047,-26.17847542,17.05206093,-7.025518433,17.90994624,-1.607136457,613.8801971,262.61202,23.69094982,17.69668459,28.63485663,18.59574373,47.06908602,21.91503456,0.2859319,13.48621992,19.41603943,8.825108807,40.67715054,15.07853943,21.26111111,6.25343062,119,355,119,5202,0.249471154,0
1.75,28193,0.808512545,0.634600614,-8.30188172,-26.11322965,16.42903226,-6.710272657,17.79041219,-1.606701229,607.5641577,264.5983103,24.26505376,17.77675371,29.27419355,18.68412698,47.93691756,22.02165259,0.574462366,13.54538531,19.83216846,9.004563492,41.23494624,15.32059012,21.40277778,6.316026626,14,1565,14,5070,0.002049899,0
1.75,28193,0.808512545,0.634600614,-8.30188172,-26.11322965,16.42903226,-6.710272657,17.79041219,-1.606701229,607.5641577,264.5983103,24.26505376,17.77675371,29.27419355,18.68412698,47.93691756,22.02165259,0.574462366,13.54538531,19.83216846,9.004563492,41.23494624,15.32059012,21.40277778,6.316026626,15,1595,15,5069,0.002049899,0
1.77,28193,0.808512545,0.634600614,-8.32078853,-26.1077637,16.41012545,-6.704806708,17.79301075,-1.600947261,607.5806452,264.5958013,24.28413979,17.78777522,29.29605735,18.68670635,47.95878136,22.02423195,0.585394265,13.54825269,19.85134409,9.012519201,41.25949821,15.32585766,21.40815412,6.313338454,12,1625,12,5070,0.008057481,0
4.21,27457,0.808512545,0.62922427,-7.646236559,-26.28389017,17.08467742,-7.047599846,17.9155914,-1.604646697,618.8576165,260.2914875,23.65277778,17.69123784,28.5938172,18.58492064,47.01729391,21.90689964,0.26953405,13.48075397,19.38862007,8.806221198,40.63879928,15.05409626,21.25017921,6.247875064,149,422,149,5194,0.490488516,0
4.21,27457,0.808512545,0.62922427,-7.646236559,-26.28389017,17.08467742,-7.047599846,17.9155914,-1.604646697,618.8576165,260.2914875,23.65277778,17.69123784,28.5938172,18.58492064,47.01729391,21.90689964,0.26953405,13.48075397,19.38862007,8.806221198,40.63879928,15.05409626,21.25017921,6.247875064,126,395,126,5197,0.490488516,0
